id_str,screen_name
1.00411E+18,Roman_A_Z
8.39201E+17,FormidableBran
7.68655E+17,NationsInAction
1.00923E+18,Salvado21252361
9.11343E+17,Conicole82_
2894092791,melhubbard001
7.80573E+17,Joe_Spooter
46610491,LordSangOne
1.0091E+18,ClassicKickball
29734459,ChaoticLady1
1.00909E+18,LindsRandolph
19750578,FredieWoz
7.77862E+17,NaziGOP
1.00807E+18,Greg39478540
8.16516E+17,Jennifer_1776
172638742,rbeggin
9.96439E+17,a_mac53
1.00893E+18,AnthonyNagurski
8.73171E+17,Noami444
572311248,ADavis1124
139923175,AmandaSeitz1
1.00879E+18,tbone_d
27152954,jimmbay1
3359712531,teamamash
9.94616E+17,EmilyRogersA
3442346893,jrpsb
3377307910,_TierraJae_
899079080,Naninani51
9.10228E+17,realJosephOdish
1.00498E+18,MagaWorks
545534766,AIEMED
4229625927,MungerMaxime
2204819004,MarkEvanTaylor
2271873376,kariruth40782
9.56587E+17,jsivad314
9.36788E+17,IceCoast1775
8.69312E+17,5kken
3284170452,Imdineshpurohit
66416916,MikeMcFall
25239725,runninmommy
56523262,angela2k
221891101,Quornball
597153970,UnWrapWithJRap
8.35579E+17,DetourRight
3318266882,PamelaSue18
127875125,orkasif
48995657,tblankenburg
9.96065E+17,Randayes031
1.00802E+18,PeopleMichigan
61900373,clsadimas
2259348013,Lee_J_McClellan
1.00784E+18,SouthHavenYoun1
162745616,ZachStewart574
1959449294,cabes_whiting33
468967571,jbones62
42405154,mad62699
3579013095,Kkeira13
1.00748E+18,doskovis
1.00745E+18,KelseyJ921
9.18149E+17,clean_detroit
9.68331E+17,ShaneB73
399074978,rope61011
8.17516E+17,WinTheStates
1.00735E+18,DavidZwick7
16043205,CherylReynolds
9.9897E+17,TAB03308790
777135847,1776Trump1984
9.54846E+17,veram43395421
14092858,jackoheart
9.22971E+17,DocFlemings
9.41668E+17,gary_herbison
1.00658E+18,Muhammad6659
3099627173,Blaine_Noble
2314138519,CraigWoodcraft
371940560,KyleRudyRichard
9.94018E+17,YoYouFakeBro
490471949,arielomara
1.002E+18,KalebSchutt16
9.47896E+17,izzyschoenberg
1.00695E+18,Donna63778646
9.87357E+17,WaldeckZachary
375391770,alyssawilcosh
1487888964,DNewsChronicle
8.9022E+17,humanevotersmi
1278123914,MichiganUnited
401195264,squantonio1
9.54431E+17,TichonKenneth
1.00513E+18,KMakuski
7.74596E+17,jonathan15110
712713641,Skeven313
8.9203E+17,Nar09208
1104254346,doll_leigh
1.00674E+18,DWholihan
2581387722,almagambetov
8.89087E+17,BillieVM
7.85268E+17,shelia_ossege
8.32332E+17,Nickpresley11
88683076,escarosapress
874403406,Arnaud996
7.87032E+17,kingtynk
4569213372,EmmyyyNic0le
1.00559E+18,Caleb51193690
394983154,pickardskylar
26625860,northvineinc
54316841,jlcco
2646507230,ibelieveinyou29
2856242852,IamLynnieB
194421734,thaHeisma
1.00365E+18,HodaiGreg
3027155470,Ohrkid
7.84806E+17,eddie_knotek
129628975,MADavis1949
404475543,maryschaefer5
67120640,Nottherealme1
9.74971E+17,iamrkrd
466752243,dennistonhilda
7.53799E+17,JoshuaAGibson
541137179,RobertBerggren1
3122140684,RealAirHaynes
1293634362,jcolejcolejcole
255627749,bhodinut
34041018,bjblack208
34865231,jmango60
1410960007,ciscomann
7.81564E+17,deemariethree
118190184,PreFlopPoker
9.7146E+17,Voicetobeheard7
3722729547,sfarrell1818
4856996010,sheipet912
135027268,bmarken1
3920381061,JackieLockingt1
824031288,LmkabelLynnette
1673913919,anteesheri
2817070047,maga_proud
9.99414E+17,Gvantsa45807644
437993862,marycat485
16125096,carolpeek
9.28461E+17,1983021w
281614756,audralaray
9.81249E+17,BruceLeeCook3
39465302,Designer_Classy
1.00593E+18,CloudLennie
9.34781E+17,CincyRockstar
1.0059E+18,EastmonWeston
1.00588E+18,pohld10424
54311655,bestsince77
1.00581E+18,JuicyLilNugs
9.40187E+17,MattCam43881648
9.96357E+17,RealDougLittle
8.3097E+17,minitornado86
1679552174,katieconroy22
1.00417E+18,IGotARock2
3245063033,_MahmoudArafa
3155025981,rickybobby90210
94436427,Mr_Pinko
9.68219E+17,4Creature
1.00373E+18,HeatherMcDiarm1
